@relation 'sample-weka.filters.unsupervised.attribute.Remove-V-R13,22,68,74,131,220,221,259,261,263,267,276,281,284,295,316,317,318,320,340,341,343,347,389,392,397,443,506,512,520,521,533'

@attribute X13 numeric
@attribute X22 numeric
@attribute X68 numeric
@attribute X74 numeric
@attribute X131 numeric
@attribute X220 numeric
@attribute X221 numeric
@attribute X259 numeric
@attribute X261 numeric
@attribute X263 numeric
@attribute X267 numeric
@attribute X276 numeric
@attribute X281 numeric
@attribute X284 numeric
@attribute X295 numeric
@attribute X316 numeric
@attribute X317 numeric
@attribute X318 numeric
@attribute X320 numeric
@attribute X340 numeric
@attribute X341 numeric
@attribute X343 numeric
@attribute X347 numeric
@attribute X389 numeric
@attribute X392 numeric
@attribute X397 numeric
@attribute X444 numeric
@attribute X507 numeric
@attribute X513 numeric
@attribute X521 numeric
@attribute X522 numeric
@attribute Class {acc,unacc}

@data

3.178497,2.89768,2.789829,1.155071,2.37037,1.843801,-0.033639,3.183432,3.083748,2.908058,2.381243,1.640249,0.486914,1.69697,0.758958,3.005089,1.927876,0.511729,-0.63151,1.434914,3.694541,0.949611,0.721538,0.481815,1.498649,1.339923,3.639847,2.931493,2.238,1.703527,1.801917,acc
6.01313,6.566924,1.783355,2.757823,2.382716,3.157214,1.260019,1.963757,4.398144,1.860195,4.13481,2.493989,1.133333,4.527089,3.201183,3.530416,-1.851559,-3.000306,-4.370226,2.856537,3.370419,2.866674,4.253314,-3.628941,3.088606,1.232781,6.91645,2.822795,-6.3696,3.086483,3.007791,acc
8.108777,6.403034,8.501407,-1.165904,7.351852,4.601686,1.34065,6.201183,8.925985,6.146295,6.488555,4.579003,0.386049,4.46832,2.605934,-0.005898,10.48095,6.798003,0.072049,3.911113,6.168403,4.489295,1.752189,9.856931,3.215131,1.075255,9.301175,13.617882,8.5219,6.842286,6.448966,acc
4.022574,8.991374,3.981563,5.456758,5.512346,4.310836,5.053193,-0.569157,0.685378,1.896971,2.754756,4.302327,11.775556,4.801882,4.477564,2.777039,8.495744,33.475053,105.792101,2.164459,1.872975,3.640355,5.360651,40.793657,5.997598,1.376913,7.076591,7.483767,88.1509,2.300111,2.255759,acc
9.422437,10.014575,2.410114,3.324076,0.240741,3.387153,0.035639,5.718935,9.156179,6.222553,16.329221,4.537562,0.002222,1.158402,1.848373,6.086254,2.397257,-2.408668,19.386285,2.329909,9.954765,4.540766,2.275858,-4.396098,1.358397,2.191327,11.478562,7.60875,-5.2626,4.943156,5.014489,acc
6.375552,10.377454,1.737521,2.04675,1.123457,3.014245,1.986908,2.210799,2.632639,1.54881,0.81904,4.841108,2.949259,3.912994,5.513848,3.752212,1.566986,12.840422,55.141059,4.984706,0.55869,5.305471,6.360118,18.323519,3.004335,1.319515,10.531427,4.154896,30.7073,2.215263,2.145084,acc
8.942771,14.282867,5.689623,9.942918,4.824074,4.999703,5.739314,2.716346,3.998868,3.136019,6.645363,7.098089,4.051728,7.054867,7.755178,5.298621,11.469361,52.077515,169.798611,4.645608,5.227334,6.838938,7.734556,63.721219,4.486755,2.3125,12.797708,7.230642,100.0239,4.799409,4.741989,acc
8.181456,9.087597,5.145571,4.271158,3.660494,4.86402,1.275078,5.464867,6.77354,4.654949,9.783368,4.512715,1.259136,3.173095,3.158613,-0.690202,4.723927,0.34879,16.318142,3.533792,8.361449,4.099103,3.142959,1.825681,3.027124,1.705357,10.692781,10.647187,1.4937,4.780507,4.892521,acc
10.995092,12.32912,7.845468,6.241685,6.731481,7.461209,1.618283,10.734467,11.167723,8.909275,14.194932,7.264211,1.496914,5.049357,4.290886,3.882878,5.831332,-3.23564,10.980469,5.402606,13.062066,6.432742,3.15213,-2.680905,4.604263,2.493941,14.971087,14.641858,0.5971,6.833156,6.860227,acc
3.101321,7.422368,-2.246106,-1.441845,-0.990741,2.046912,-0.0324,2.547337,3.063377,3.301109,4.009587,2.649252,1.14963,3.736226,2.738125,13.603377,-3.012633,14.3213,21.31901,2.160878,3.061535,2.82699,2.443373,8.74905,2.754511,2.382015,5.991902,0.122031,-15.4719,0.893644,1.173245,acc
6.507362,11.604551,1.257365,7.919579,1.151235,4.411437,4.656216,6.919749,8.017542,8.699027,8.483427,4.56903,2.492593,4.7073,5.226003,8.326338,7.774207,45.644281,123.888021,5.46781,7.994985,3.627757,4.111953,47.844195,3.735657,1.194196,9.765526,3.302396,79.7912,2.013917,2.157115,acc
7.180549,10.080012,3.448489,1.348713,3.746914,5.31507,2.346148,4.244453,6.014826,3.419551,3.669441,6.908421,4.591111,5.470156,5.577005,2.891308,0.454402,2.588444,6.311198,6.018781,5.128376,5.964911,5.022544,-1.901188,3.967304,0.65625,10.68706,5.984774,-3.1048,3.981765,4.111007,acc
3.945501,4.973825,2.377416,0.947019,2.790123,2.589456,0.774194,2.509246,3.027048,0.887372,0.428731,2.212161,3.316049,3.429063,2.363001,-0.474257,1.023914,-2.188153,2.759115,2.524979,1.151476,2.368566,3.896272,2.898684,3.349432,0.360969,5.454221,3.729219,-0.0803,1.772535,1.751227,acc
8.279786,12.894557,1.798883,9.473764,-0.478395,3.414862,2.805001,7.675296,7.131281,7.448891,14.374703,4.68277,0.928765,2.48921,3.850345,6.084043,8.991848,45.964234,171.325087,3.291215,9.32827,4.128676,4.075799,54.601941,1.510663,2.388393,12.005938,4.956753,91.2275,2.118185,2.189451,acc
8.512569,12.316776,2.81915,3.952326,3.910494,5.487475,5.622003,4.092086,5.369398,2.91901,4.355826,5.067285,6.690123,7.769513,8.04331,-0.430761,0.02423,2.386491,39.364583,7.324347,2.719811,5.462857,8.028343,10.156659,6.733114,1.522003,12.477806,7.724462,7.2484,3.010099,2.9502,acc
10.487178,11.09072,4.968052,1.202547,2.925926,5.22683,0.649337,6.215976,8.73359,5.591536,13.177542,5.363546,1.589506,2.383838,3.092661,6.136457,4.700997,-0.39657,0.752604,3.151051,9.908275,4.811635,3.146391,-1.674752,3.295342,2.670281,12.828803,11.690035,-8.1064,5.877919,5.977826,acc
3.57114,4.527365,-1.122725,4.3919,0.191358,1.774237,2.396487,3.403846,4.337257,5.956598,5.23536,2.566593,0.426914,2.422176,1.676529,-3.03038,-4.32279,-9.38113,16.980469,2.101753,5.35653,1.863646,1.268462,-11.636101,1.20666,0.719707,4.617555,-0.388437,-12.4112,1.903364,1.81912,acc
3.94846,7.807258,3.546022,8.462895,0.938272,1.553456,4.456339,0.772559,1.904482,4.183748,3.722726,3.920305,3.875185,3.600321,2.2244,10.64346,20.13871,87.763288,218.761285,0.850481,2.548225,3.054715,3.040473,102.798415,0.676238,1.142538,5.101701,2.60191,186.2381,1.811967,1.352894,acc
1.466434,2.737954,-0.294755,3.114796,-0.401235,0.616207,1.712508,-0.039941,0.13943,-0.043943,1.129608,1.193684,1.469136,1.208678,0.934254,-0.675386,2.242609,12.827016,56.175347,0.306461,0.585938,0.864187,1.111538,15.897026,0.148361,0.393814,1.82339,-1.054688,39.347,0.614165,0.456179,acc
7.089114,10.664188,-1.371083,3.642804,-0.160494,3.569485,1.772968,1.939719,5.438773,6.235398,6.242643,6.225042,1.551605,6.782599,4.066404,18.338894,-0.393286,37.978646,71.643663,1.973348,5.462384,5.449503,3.858166,33.365514,1.531607,2.638393,8.482634,-1.29474,29.3009,4.490284,4.194161,acc
3.592255,4.378049,2.380981,2.81464,2.527778,3.22659,1.172918,1.994822,2.583975,1.836668,0.674569,3.463463,1.416543,3.400597,2.588182,1.467146,1.199467,0.820469,11.410156,1.316335,2.647955,3.506542,2.612308,7.167307,1.620702,0.407207,4.553638,2.907066,7.9296,2.87405,2.981927,acc
3.81022,8.871356,1.290017,10.806706,0.175926,1.714816,4.476743,2.443787,2.512449,3.60722,4.81198,2.512936,1.558148,3.665748,4.307774,9.342247,10.449189,60.818596,169.273003,3.376331,2.957272,2.217615,4.329882,74.43821,1.388816,0.965242,6.728276,0.263073,123.1978,0.777417,0.671465,acc
1.426966,1.678614,0.85668,0.497552,0.796296,0.888192,0.306003,1.597633,1.520598,1.072336,1.741231,1.06,0.684568,0.489669,0.529832,0.108537,0.239895,-1.264469,-1.588542,0.659723,1.800926,0.892679,0.51574,-1.59012,0.726883,0.272321,2.049143,2.052274,-1.0785,0.621624,0.683277,acc
