@relation 'sample-weka.filters.unsupervised.attribute.Remove-V-R13,22,68,74,131,220,221,259,261,263,267,276,281,284,295,316,317,318,320,340,341,343,347,389,392,397,443,506,512,520,521,533'

@attribute X13 numeric
@attribute X22 numeric
@attribute X68 numeric
@attribute X74 numeric
@attribute X131 numeric
@attribute X220 numeric
@attribute X221 numeric
@attribute X259 numeric
@attribute X261 numeric
@attribute X263 numeric
@attribute X267 numeric
@attribute X276 numeric
@attribute X281 numeric
@attribute X284 numeric
@attribute X295 numeric
@attribute X316 numeric
@attribute X317 numeric
@attribute X318 numeric
@attribute X320 numeric
@attribute X340 numeric
@attribute X341 numeric
@attribute X343 numeric
@attribute X347 numeric
@attribute X389 numeric
@attribute X392 numeric
@attribute X397 numeric
@attribute X444 numeric
@attribute X507 numeric
@attribute X513 numeric
@attribute X521 numeric
@attribute X522 numeric
@attribute Lable {acc,unacc}

@data

14.168224,19.266359,11.046866,10.757008,12.867284,12.758861,4.529443,8.571376,11.040969,7.362088,10.266721,12.744709,7.182963,11.379936,10.997206,2.747194,8.576112,12.436455,58.013889,8.164483,12.726755,11.545523,8.106686,15.060284,8.680925,2.532526,20.335052,18.476701,11.8541,11.429153,11.636963,acc
12.809667,20.850238,7.532558,4.98851,6.641975,9.423358,5.754564,7.034393,9.770032,6.36371,11.164834,13.34,9.153333,9.997245,10.687089,10.40258,2.478279,2.284917,24.762587,8.47283,9.71658,14.04309,9.019467,-0.651752,7.798057,3.033163,22.119707,14.512274,-9.1397,8.885912,9.589019,acc
12.608146,17.949286,10.43343,8.49056,10.734568,10.906125,4.207299,8.451183,8.925306,5.226068,9.802616,10.585928,7.781235,8.109734,9.117727,-0.477515,8.26936,4.688928,44.485677,7.844095,11.847946,9.555796,7.096391,10.09054,8.474214,2.044005,19.7573,19.916632,12.043,8.423793,8.571015,acc
13.372451,24.059488,6.045271,9.720399,7.098765,11.449084,9.439313,14.692308,13.644183,11.268118,15.356793,11.831025,7.91,12.776171,15.232742,11.16258,-0.746881,8.556906,45.095052,12.500613,11.809606,12.289792,10.51071,5.394049,10.693998,3.268814,24.05503,11.690799,-7.2376,11.239128,12.224355,acc
16.058294,20.568263,11.004597,-4.77705,11.268519,11.09039,3.07435,7.554364,11.484043,5.778123,8.145288,12.185734,8.609877,12.182736,10.488494,3.720036,4.167233,-3.572657,1.694444,9.534829,7.701389,12.590128,9.422722,-4.91304,9.892966,2.693878,22.911383,17.023264,-7.2573,11.544035,11.371395,acc
13.102812,17.170732,9.943564,10.38031,10.75,10.398561,5.702571,9.441568,11.536329,8.128583,12.132357,10.288532,6.614444,8.536961,9.442267,2.273353,6.511289,-1.740748,28.922743,8.173768,14.120467,9.074989,6.21284,3.713402,8.147374,1.795281,18.956061,19.116632,11.5922,9.119459,9.294817,acc
18.151259,23.828525,11.942203,7.488371,12.466049,11.380194,6.748112,7.137574,12.574581,8.243375,12.335092,17.073823,9.099753,14.713269,12.415639,8.893995,7.652475,14.346423,55.714844,8.379631,12.810089,16.698043,9.808757,15.896549,9.088099,3.041454,25.100975,18.771302,22.3534,15.749948,15.554784,acc
4.448097,5.265913,4.326046,3.026482,4.37963,4.084906,1.630718,2.046228,3.441263,2.339508,3.312203,4.49626,2.607901,3.749541,3.417242,1.053056,2.754769,-1.762627,0.819444,1.705392,4.270978,4.233997,1.800828,-0.866665,2.450664,0.579082,5.672935,6.264392,1.7562,4.730806,4.724976,acc
14.169715,18.715943,14.674939,7.80761,14.901235,13.389712,2.512907,9.66642,10.953486,10.319632,12.500966,14.559501,6.834444,13.027778,9.558966,4.642414,12.217371,10.214829,43.470052,5.439438,15.0394,13.464479,6.363787,16.550481,7.317565,3.399235,20.589808,20.169635,20.1844,14.063456,14.31019,acc
13.350153,17.269036,11.12629,6.654794,12.57716,11.924285,5.431828,7.114645,8.383545,6.104381,10.62775,11.301717,9.091605,9.027089,9.665845,-2.628335,5.902009,-5.384075,16.698785,7.853733,11.445747,10.683878,7.100414,-1.389301,8.711145,2.52838,19.604783,19.384705,3.2827,10.676396,10.386474,acc
13.096681,17.803986,7.813614,4.623125,6.984568,7.702995,5.85629,4.633506,8.649842,4.95795,10.11742,9.866731,9.494444,9.014922,9.104495,3.421902,4.323153,1.048944,42.668837,7.691206,8.079427,8.887651,8.198639,4.350944,7.42416,2.091199,18.441197,14.667274,5.5821,8.46193,8.595362,acc
11.31467,19.805473,4.390364,4.874422,5.916667,10.486673,9.152032,9.088018,10.854912,6.04881,6.081302,7.899474,10.129136,13.474977,12.025436,10.010238,1.472172,21.018933,44.436198,11.28596,6.473573,8.643545,13.719704,13.369229,11.300502,1.606505,19.357664,8.946076,-11.6265,5.984826,6.454647,acc
13.339106,18.954938,11.573747,11.317796,11.212963,11.737821,4.561651,8.456361,9.706541,7.310168,10.418029,12.565789,10.135185,9.296373,11.145012,-0.084507,8.693311,-1.169636,16.959201,8.010369,12.937114,11.290766,7.621893,7.485982,8.574401,2.071747,20.690996,20.712257,5.1392,10.426647,10.555391,acc
9.834648,15.710738,2.62174,-2.965987,2.114198,6.3961,3.794877,10.971524,6.093142,2.339237,6.36519,4.659612,3.924198,4.308999,9.1137,1.156338,0.269305,4.357592,74.006944,8.461,1.768374,4.968966,8.214438,7.874748,6.012806,2.027105,16.853609,9.448003,16.0484,1.760838,1.935751,acc
14.447868,19.452261,9.934932,10.655719,11.345679,12.872342,6.080058,10.717456,12.474876,8.000676,8.777423,11.76385,6.974321,11.582415,11.822115,0.872747,5.070224,0.670848,40.276042,10.903973,13.454572,10.119215,8.765562,1.370809,10.348658,1.774554,21.051294,17.135799,10.8522,9.560854,9.996962,acc
13.342736,18.313058,10.469225,7.931428,12.265432,12.45691,6.311684,9.325074,9.634224,5.643726,8.691959,10.557479,7.997407,10.569789,9.642217,-0.555363,5.857047,1.388045,43.719618,8.740221,12.351563,9.003406,8.020414,10.537758,9.748769,2.05676,19.680034,20.023646,7.0373,7.832153,8.043808,acc
13.608454,18.413444,11.811644,4.124535,12.231481,11.079226,5.28246,8.29142,9.592915,6.829773,11.267093,12.067008,6.784321,9.295914,9.860002,-1.191522,9.44454,7.061151,34.47309,7.856749,11.973958,11.740755,7.335503,12.409333,8.412188,2.321429,20.318801,19.523872,14.3748,11.479417,11.364189,acc
14.741683,17.085068,12.340261,0.755244,11.515432,8.786553,2.790107,5.29216,8.794477,5.202136,7.58643,11.080416,5.237654,9.51584,6.360865,16.214578,11.738321,27.838409,54.123264,7.441724,8.598524,8.826827,6.645266,30.035263,7.058992,4.098533,18.779229,16.632465,44.9175,9.601402,9.433294,acc
13.23343,19.364069,10.746622,12.786196,11.305556,13.788121,5.794569,9.620562,11.007583,8.540833,9.472875,11.004321,9.553457,11.131772,12.399984,3.191807,6.636008,-0.594532,28.855035,9.305283,12.856674,10.445772,8.584497,10.544616,9.647711,1.589605,20.874765,20.043333,8.3996,9.137244,9.618729,acc
13.053986,17.741672,12.985645,11.548449,13.962963,11.675344,5.741353,14.179734,12.059303,10.994186,11.125149,12.428338,10.541111,9.017218,9.623603,2.485101,8.505288,3.513108,31.545573,8.820789,15.904273,11.203341,6.609586,11.759103,9.13061,2.279656,20.881557,23.418628,17.2913,9.699716,9.82435,acc
17.781909,25.79536,14.088244,7.860285,12.361111,15.014424,5.033478,10.289571,10.750113,7.13007,8.533071,15.930055,8.91716,16.165289,14.108111,15.314257,10.244532,32.900702,106.013889,8.477048,8.374084,17.683607,15.370355,41.86831,10.54875,4.763393,26.997866,16.737604,56.5322,13.747681,14.295178,acc
12.942621,18.235723,9.616157,9.736581,11.996914,12.245369,5.158624,5.581361,10.124378,5.655625,10.008769,13.116676,8.163951,11.589532,11.948266,3.289239,4.250516,-1.432818,21.397569,8.372844,11.319927,12.231401,7.234911,-1.097841,8.896817,2.15051,18.931814,17.386736,3.8119,10.78969,10.997664,acc
