@relation 'sample-weka.filters.unsupervised.attribute.Remove-V-R131,267,280,281,295,316,317,318,320,340,389,392,397,506,512,533'

@attribute X131 numeric
@attribute X267 numeric
@attribute X280 numeric
@attribute X281 numeric
@attribute X295 numeric
@attribute X316 numeric
@attribute X317 numeric
@attribute X318 numeric
@attribute X320 numeric
@attribute X340 numeric
@attribute X389 numeric
@attribute X392 numeric
@attribute X397 numeric
@attribute X507 numeric
@attribute X513 numeric
@attribute Class {acc,unacc}

@data

2.385802,2.874777,2.967406,2.546667,3.79368,5.628002,-2.976366,-2.675216,20.451823,2.971722,10.268098,3.287123,1.045281,2.164653,0.6333,unacc
1.012346,6.213213,2.037234,1.491728,3.066404,14.473746,-0.094018,20.063352,35.821181,2.075219,18.099022,2.825097,2.674107,0.91934,12.4474,acc
-1.274691,2.079073,0.951109,1.018642,1.481714,9.718252,-2.848652,13.861211,21.974826,0.920563,10.429986,0.719678,1.341837,-0.908003,-10.9081,acc
8.296296,10.89291,0.812924,0.509753,5.649901,5.205493,13.854305,27.383152,74.226563,5.366481,30.794861,4.29244,1.906888,15.553437,35.8792,acc
3.685185,4.832194,1.271503,1.939877,6.286736,4.750048,0.157136,-2.699104,20.525608,4.688967,8.977902,3.655019,0.949617,5.302101,7.1152,unacc
0.601852,0.153537,0.610118,1.62037,2.128287,-1.411807,0.651929,1.978169,16.549045,1.623504,3.048577,1.547531,0.278061,1.075017,4.9599,unacc
2.046296,0.90874,0.72895,0.725802,1.548858,0.917372,2.315945,-1.224808,-0.679688,0.867848,-0.325077,1.124173,0.626913,3.089653,2.6383,acc
3.595679,9.114001,3.612268,3.076543,7.100345,3.532176,1.162284,6.777976,47.806424,5.676737,4.599175,5.502926,2.15912,8.644288,-1.5563,unacc
1.947531,4.084052,2.62019,3.235309,2.501274,12.364566,2.138354,22.311856,46.611979,2.609035,21.013576,2.518748,2.24426,2.561927,16.2855,acc
3.725309,2.93475,1.816546,2.298765,7.060076,0.9622,1.287281,-5.181978,0.112847,6.105783,2.511467,4.644906,0.733737,7.739878,3.8877,unacc
-2.407407,5.286564,1.250566,2.078395,1.858974,37.0956,-10.125721,55.337792,48.778212,1.468612,34.809269,0.654729,4.410714,-3.077344,-31.213,acc
5.506173,9.62775,5.443979,5.90963,8.160092,5.067527,0.649135,1.481688,34.763889,5.360779,-2.678713,6.277156,2.470344,8.614497,-7.1278,unacc
1.225309,4.97228,1.819941,1.922346,3.725715,4.299453,0.391426,9.18558,18.121094,4.328542,8.709393,2.743214,0.211416,3.199306,6.5353,unacc
-0.342593,1.39893,0.976234,0.830247,1.862385,2.919215,0.192354,2.311637,13.634983,2.395513,1.532142,1.590103,0.500957,0.935955,-2.2473,unacc
1.697531,0.997102,0.977252,1.236296,1.670776,-0.535672,0.578781,-1.146776,-1.10026,1.656801,0.088987,1.99995,0.154656,2.296059,0.1372,unacc
2.262346,3.364893,2.999774,2.623827,4.52371,6.451213,2.412356,18.79178,59.552951,3.432981,18.594479,3.422621,1.733737,3.769983,27.4476,acc
-1.024691,7.198053,2.816659,2.268519,2.175994,9.349358,2.166773,32.808245,79.960503,1.859624,33.937676,2.014751,2.005102,-1.083229,32.011,acc
0.950617,12.879013,0.694432,0.07037,1.94165,2.774411,2.727107,-3.885397,0.436198,3.330097,-4.653092,2.127338,2.122449,8.504549,-9.0222,acc
3.632716,3.412084,2.518674,2.02321,3.85051,2.775838,2.075494,-1.560801,17.620226,5.061151,9.941834,2.961995,0.833865,7.505208,12.9334,unacc
1.395062,0.720125,0.115097,0.46358,4.412229,0.370904,-0.763765,-0.644006,19.360243,3.371948,1.33247,2.32466,0.823342,2.861979,5.4132,acc
0.459877,0.670333,1.573336,2.031481,2.099195,2.185101,-0.160884,1.801667,16.001302,1.444858,5.024216,2.413475,0.290816,1.084132,-2.143,acc
2.537037,-0.470422,1.769239,2.639012,3.192636,0.002021,2.609237,1.735272,-1.049479,1.224951,0.113522,1.538503,0.315689,5.029028,1.899,unacc
3.861111,4.366528,1.601743,2.22,8.297748,4.383924,4.423405,6.070841,11.385851,7.430578,15.471166,5.9662,1.738839,7.434653,7.2686,unacc
-0.45679,3.492122,0.253961,0.18,1.476701,2.754673,-0.610689,4.433308,16.911892,1.247149,2.817873,0.858528,0.230867,0.517014,1.2909,unacc
1.62963,0.355752,1.371209,0.945185,2.428008,0.775113,0.548565,0.461634,-0.932292,1.741705,1.232366,1.32063,0.137755,2.166076,0.6398,unacc
-0.990741,2.637857,1.359665,1.372099,3.308103,-1.743971,-1.176066,-6.60578,-2.531684,1.851847,-8.38646,1.387059,1.121811,2.940868,-11.7892,acc
1.037037,0.105603,1.738569,2.367407,0.767382,-0.347491,0.370774,2.177115,6.713542,0.405811,2.042524,1.212791,0.172194,1.185069,0.0333,unacc
0.873457,2.918772,2.019692,1.258025,4.006986,6.507717,3.652772,17.546839,40.733507,2.961613,15.648689,2.085681,1.19324,4.132899,18.4141,unacc
3.564815,4.597652,3.70077,4.892099,7.094223,11.842414,-1.476258,4.654689,29.178385,6.338957,11.500578,6.806795,1.502232,4.790521,-1.1364,unacc
2.447531,3.925684,3.700656,5.143951,6.869247,3.805945,4.232377,30.312201,101.827691,5.909275,34.978725,5.005105,0.857143,4.442986,38.707,unacc
3.512346,3.042137,3.589407,5.279877,8.843894,-0.096932,1.891902,-3.064057,3.310764,8.889198,-7.263003,7.120272,1.296556,6.453142,-8.4759,unacc
1.555556,0.820378,0.753395,0.688272,1.771285,3.527396,0.567888,1.743299,16.098958,0.584504,9.765349,0.605484,0.508929,1.767326,8.9961,acc
3.567901,2.89997,0.831258,1.198765,2.799186,2.733365,3.689974,-0.861977,5.921441,3.259803,2.497558,2.814552,0.767219,5.128854,3.2848,unacc
1.688272,0.617643,0.879697,1.09321,3.771203,2.404328,0.610234,3.167894,11.087674,3.126638,5.363255,3.106618,0.235013,2.371163,-0.4012,unacc
2.358025,1.107387,0.399615,0.254321,2.670694,0.503841,2.688782,0.068009,2.455729,1.658356,0.362454,1.541313,0.21014,3.373056,-0.6867,unacc
0.092593,3.730678,1.243775,1.983951,1.63215,4.874435,13.117404,59.085433,161.360243,0.811222,69.607526,0.440835,0.983099,0.652604,134.7528,acc
1.469136,1.214625,1.437302,1.977654,1.613905,1.053662,-1.526198,-3.432726,-3.508681,0.888703,-4.62354,1.584321,0.508291,1.624774,-7.6729,unacc
1.41358,3.633918,1.785197,2.607778,2.56513,13.261629,0.14217,19.655691,44.932292,2.464111,15.417307,2.554284,2.292092,1.62342,11.4469,acc
0.697531,4.561311,0.873472,1.400741,2.014505,6.613068,9.908846,52.315007,161.53559,0.794844,59.794638,0.429411,1.022321,0.434288,100.4577,acc
2.37037,2.457342,2.640109,2.937531,5.417488,1.746302,3.459454,7.617207,43.610243,5.363512,11.497356,4.853706,0.711416,4.991719,1.2165,unacc
8.882716,10.789759,1.104685,0.978395,6.970373,8.718847,20.72936,61.1287,155.134549,6.581228,75.420502,5.139716,2.292411,15.306684,109.996,acc
4.080247,6.841335,3.185718,3.703704,6.041995,-1.575006,3.029958,-2.912383,21.104601,5.684183,1.04771,5.203144,1.605548,9.076615,2.7672,unacc
1.425926,4.54459,1.189565,1.734198,1.559172,30.999263,15.481804,82.242284,167.976997,1.218352,87.651875,1.233082,4.36926,1.956302,139.9783,acc
0.231481,1.287753,0.392485,0.453704,0.414694,4.495541,8.186308,34.500985,79.438802,0.183877,40.348676,0.020934,0.345344,0.949219,72.03,acc
3.604938,2.968267,1.849479,1.92284,5.286119,0.295006,2.450887,-1.483014,4.464844,4.079838,-3.174122,3.198207,0.375,6.399809,-5.4483,unacc
2.271605,0.565324,1.931304,1.727284,2.093401,-0.605636,1.048069,-4.579603,-1.095052,2.147752,-1.839455,1.939724,1.112564,3.643247,-0.5034,unacc
2.969136,1.274227,1.045269,0.732469,2.442883,3.576552,2.696503,2.782974,15.838542,1.235319,9.804074,1.239985,0.650829,3.845903,8.6868,acc
3.737654,1.102854,10.388977,12.462099,7.101249,2.694542,1.094291,9.318088,31.675781,9.834904,16.831253,9.066115,0.248087,6.06467,0.917,unacc
1.006173,4.161712,1.308284,1.594568,1.524326,13.578312,21.182235,92.338238,209.513889,0.800358,106.462168,0.409591,1.340561,2.700069,188.18,acc
