@relation 'sample-weka.filters.unsupervised.attribute.Remove-V-R13,22,68,74,131,220,221,259,261,263,267,276,281,284,295,316,317,318,320,340,341,343,347,389,392,397,443,506,512,520,521,533'

@attribute X13 numeric
@attribute X22 numeric
@attribute X68 numeric
@attribute X74 numeric
@attribute X131 numeric
@attribute X220 numeric
@attribute X221 numeric
@attribute X259 numeric
@attribute X261 numeric
@attribute X263 numeric
@attribute X267 numeric
@attribute X276 numeric
@attribute X281 numeric
@attribute X284 numeric
@attribute X295 numeric
@attribute X316 numeric
@attribute X317 numeric
@attribute X318 numeric
@attribute X320 numeric
@attribute X340 numeric
@attribute X341 numeric
@attribute X343 numeric
@attribute X347 numeric
@attribute X389 numeric
@attribute X392 numeric
@attribute X397 numeric
@attribute X444 numeric
@attribute X507 numeric
@attribute X513 numeric
@attribute X521 numeric
@attribute X522 numeric
@attribute Class {acc,unacc}

@data

5.445966,8.383105,0.520079,1.19195,2.385802,3.34431,2.212248,2.102071,3.837596,3.236209,2.874777,4.950776,2.546667,5.385904,3.79368,5.628002,-2.976366,-2.675216,20.451823,2.971722,3.769965,5.076016,3.961479,10.268098,3.287123,1.045281,7.813136,2.164653,0.6333,4.188936,4.15822,unacc
4.529226,8.62671,0.232642,1.742519,1.012346,2.660598,1.537212,2.758876,3.704278,4.069227,6.213213,4.08662,1.491728,3.970386,3.066404,14.473746,-0.094018,20.063352,35.821181,2.075219,3.601321,4.498486,3.550473,18.099022,2.825097,2.674107,7.495804,0.91934,12.4474,4.693709,4.688259,acc
2.074667,4.59072,-1.915134,-0.836613,-1.274691,0.958846,0.842107,0.709689,1.362947,1.371687,2.079073,1.765928,1.018642,2.387741,1.481714,9.718252,-2.848652,13.861211,21.974826,0.920563,1.127459,1.728644,2.289763,10.429986,0.719678,1.341837,3.530121,-0.908003,-10.9081,0.92786,0.879354,acc
11.544265,12.050565,9.903453,1.288074,8.296296,6.059797,2.624935,7.898669,11.804889,8.281233,10.89291,6.709889,0.509753,6.727502,5.649901,5.205493,13.854305,27.383152,74.226563,5.366481,7.484616,7.357807,3.515089,30.794861,4.29244,1.906888,14.302584,15.553437,35.8792,8.30579,7.879391,acc
7.042308,9.424896,3.411381,2.424756,3.685185,4.623383,4.026435,4.122041,8.052399,5.481071,4.832194,5.397562,1.939877,5.364096,6.286736,4.750048,0.157136,-2.699104,20.525608,4.688967,6.185041,5.612619,3.89503,8.977902,3.655019,0.949617,9.392938,5.302101,7.1152,5.767878,5.854784,unacc
2.142927,3.305027,0.445628,-0.185266,0.601852,1.301453,1.308818,0.295488,0.354572,-0.545024,0.153537,0.462715,1.62037,1.705234,2.128287,-1.411807,0.651929,1.978169,16.549045,1.623504,-0.286699,0.886894,2.320533,3.048577,1.547531,0.278061,3.24717,1.075017,4.9599,0.143851,0.213501,unacc
2.753922,2.884444,2.966457,1.441501,2.046296,1.328513,0.53887,0.792899,1.243436,0.674959,0.90874,2.434377,0.725802,2.596189,1.548858,0.917372,2.315945,-1.224808,-0.679688,0.867848,0.633295,2.934959,1.249231,-0.325077,1.124173,0.626913,3.740054,3.089653,2.6383,3.363727,3.30125,acc
10.419131,14.482005,3.900685,8.599465,3.595679,7.390202,2.625328,8.507766,7.978158,4.989454,9.114001,5.991856,3.076543,6.348255,7.100345,3.532176,1.162284,6.777976,47.806424,5.676737,6.617236,6.376622,7.266627,4.599175,5.502926,2.15912,15.20385,8.644288,-1.5563,4.355511,4.543465,unacc
6.079417,8.421475,1.923297,0.759992,1.947531,2.187811,1.923434,1.259246,3.666818,3.541915,4.084052,4.93036,3.235309,5.83494,2.501274,12.364566,2.138354,22.311856,46.611979,2.609035,3.412809,3.887976,3.821538,21.013576,2.518748,2.24426,7.868281,2.561927,16.2855,3.474222,3.34382,acc
7.62343,10.027216,4.609214,3.674277,3.725309,5.069722,3.563693,6.694896,6.816206,4.29881,2.93475,4.775568,2.298765,5.789945,7.060076,0.9622,1.287281,-5.181978,0.112847,6.105783,3.112461,5.612132,5.351657,2.511467,4.644906,0.733737,11.542599,7.739878,3.8877,4.991934,4.956883,unacc
7.668539,11.097561,-6.909833,-7.891877,-2.407407,2.38113,-3.850127,1.442308,4.660933,5.712547,5.286564,5.295789,2.078395,6.052342,1.858974,37.0956,-10.125721,55.337792,48.778212,1.468612,5.266204,2.935121,2.85,34.809269,0.654729,4.410714,8.460744,-3.077344,-31.213,2.861863,2.474892,acc
11.465969,16.523944,4.629762,0.813208,5.506173,6.768079,4.926044,5.324334,6.499321,4.147918,9.62775,8.738615,5.90963,7.551194,8.160092,5.067527,0.649135,1.481688,34.763889,5.360779,7.603829,8.4375,6.987041,-2.678713,6.277156,2.470344,16.446191,8.614497,-7.1278,8.145739,8.494887,unacc
3.502919,6.983641,1.263276,5.044456,1.225309,3.271334,2.368239,6.024038,5.4811,3.854516,4.97228,3.175291,1.922346,1.987833,3.725715,4.299453,0.391426,9.18558,18.121094,4.328542,5.174576,2.696259,2.536391,8.709393,2.743214,0.211416,6.559034,3.199306,6.5353,1.96207,2.250426,unacc
1.50344,4.002528,-0.048414,0.820053,-0.342593,1.155664,0.852798,1.794749,2.03033,1.612223,1.39893,1.209335,0.830247,1.472681,1.862385,2.919215,0.192354,2.311637,13.634983,2.395513,1.623167,1.5246,1.881361,1.532142,1.590103,0.500957,3.694428,0.935955,-2.2473,0.27314,0.628558,unacc
1.715945,2.372397,1.32037,-0.811767,1.697531,1.611013,1.332296,2.160873,1.495926,0.866414,0.997102,1.408504,1.236296,2.057851,1.670776,-0.535672,0.578781,-1.146776,-1.10026,1.656801,1.442708,1.221021,2.098935,0.088987,1.99995,0.154656,2.680076,2.296059,0.1372,0.833944,0.903675,unacc
6.440885,9.617341,2.278429,-1.52029,2.262346,4.122184,2.089218,2.952663,3.982571,2.690914,3.364893,3.570776,2.623827,5.248393,4.52371,6.451213,2.412356,18.79178,59.552951,3.432981,1.596354,4.451881,5.607811,18.594479,3.422621,1.733737,9.463805,3.769983,27.4476,3.168678,2.993099,acc
3.845324,8.251338,-1.458294,4.486067,-1.024691,1.631274,3.804665,4.477811,2.525577,3.984451,7.198053,3.030554,2.268519,2.652663,2.175994,9.349358,2.166773,32.808245,79.960503,1.859624,4.027922,2.673821,4.221479,33.937676,2.014751,2.005102,6.807826,-1.083229,32.011,3.015741,2.968149,acc
8.108588,8.404224,3.032558,2.873991,0.950617,3.900069,0.307554,8.656065,8.881847,7.709438,12.879013,3.970886,0.07037,1.499082,1.94165,2.774411,2.727107,-3.885397,0.436198,3.330097,11.025993,3.203125,1.817219,-4.653092,2.127338,2.122449,10.253996,8.504549,-9.0222,3.579008,3.762542,acc
6.155473,8.180845,4.333224,2.637153,3.632716,4.114736,1.403327,5.093565,5.287234,4.108707,3.412084,5.53615,2.02321,3.15404,3.85051,2.775838,2.075494,-1.560801,17.620226,5.061151,5.923852,4.796551,3.377988,9.941834,2.961995,0.833865,9.302929,7.505208,12.9334,3.63632,3.640342,unacc
4.186245,5.983938,1.130606,-3.274887,1.395062,2.358387,1.006201,2.376849,2.20292,-0.114386,0.720125,1.032992,0.46358,3.60124,4.412229,0.370904,-0.763765,-0.644006,19.360243,3.371948,-2.080392,2.553904,4.250178,1.33247,2.32466,0.823342,6.419123,2.861979,5.4132,0.993616,0.913322,acc
1.359188,3.596074,0.144492,0.865424,0.459877,0.986055,2.453487,1.54068,1.230534,0.457545,0.670333,1.318615,2.031481,2.048439,2.099195,2.185101,-0.160884,1.801667,16.001302,1.444858,0.762346,1.800335,2.904556,5.024216,2.413475,0.290816,3.037916,1.084132,-2.143,0.588381,0.84561,acc
2.101329,2.734087,2.777913,-4.566692,2.537037,1.733696,1.219157,-0.093935,0.178814,-0.93483,-0.470422,1.88133,2.639012,2.147842,3.192636,0.002021,2.609237,1.735272,-1.049479,1.224951,-1.152778,2.379109,1.263314,0.113522,1.538503,0.315689,3.591857,5.029028,1.899,1.157899,0.956789,unacc
9.034087,11.923111,5.010602,9.967782,3.861111,5.17283,4.687369,5.144231,5.589746,2.930909,4.366528,4.347479,2.22,9.067264,8.297748,4.383924,4.423405,6.070841,11.385851,7.430578,4.393663,5.180039,7.580828,15.471166,5.9662,1.738839,13.09473,7.434653,7.2686,5.093041,5.206698,unacc
1.538821,3.107079,-0.184181,-0.254879,-0.45679,0.979068,0.82857,2.015902,1.406632,1.168605,3.492122,0.82241,0.18,0.375574,1.476701,2.754673,-0.610689,4.433308,16.911892,1.247149,1.863281,0.647816,1.193254,2.817873,0.858528,0.230867,2.757594,0.517014,1.2909,0.324251,0.568565,unacc
1.94412,2.801904,1.731141,0.159282,1.62963,2.381102,0.802882,1.054734,1.359099,0.742293,0.355752,2.747645,0.945185,2.37213,2.428008,0.775113,0.548565,0.461634,-0.932292,1.741705,1.246046,2.405709,1.931538,1.232366,1.32063,0.137755,3.107395,2.166076,0.6398,1.707176,1.708214,unacc
